Layout,PVDD(mV),VG(mV),NWBIAS(mV),Tint(us),W(um),L(um),Wavelength(nm),Pixel_Number,Light_Intensity(uW/cm2),Dark(mV),Light(mV),L-D(mV),Edge
1.0,2300.0,1800.0,2500.0,70.0,0.7,0.4,640.0,36.0,550.0,1729.0,1875.0,146.0,0.0
1.0,2300.0,1800.0,2500.0,70.0,0.7,0.4,850.0,36.0,550.0,1729.0,1833.0,104.0,0.0
1.0,2300.0,1800.0,2500.0,70.0,0.7,0.4,940.0,36.0,550.0,1729.0,1875.0,146.0,0.0
1.0,2300.0,1800.0,2500.0,70.0,0.7,0.4,1060.0,36.0,550.0,1729.0,2041.0,312.0,0.0
1.0,2300.0,1800.0,2500.0,70.0,0.7,0.4,1200.0,36.0,550.0,1729.0,1895.0,166.0,0.0
1.0,2300.0,1800.0,2500.0,70.0,0.7,0.4,1300.0,36.0,550.0,1729.0,1750.0,21.0,0.0
1.0,2300.0,1950.0,2500.0,280.0,0.7,0.4,640.0,36.0,550.0,395.8,520.8,125.0,0.0
1.0,2300.0,1950.0,2500.0,280.0,0.7,0.4,850.0,36.0,550.0,395.8,500.0,104.2,0.0
1.0,2300.0,1950.0,2500.0,280.0,0.7,0.4,940.0,36.0,550.0,395.8,604.1,208.3,0.0
1.0,2300.0,1950.0,2500.0,280.0,0.7,0.4,1060.0,36.0,550.0,395.8,1208.0,812.2,0.0
1.0,2300.0,1950.0,2500.0,280.0,0.7,0.4,1200.0,36.0,550.0,395.8,750.0,354.2,0.0
1.0,2300.0,1950.0,2500.0,280.0,0.7,0.4,1300.0,36.0,550.0,395.8,416.6,20.8,0.0
1.0,2300.0,1900.0,2500.0,350.0,0.7,0.4,640.0,36.0,550.0,1104.0,1312.0,208.0,0.0
1.0,2300.0,1900.0,2500.0,350.0,0.7,0.4,850.0,36.0,550.0,1104.0,1291.0,187.0,0.0
1.0,2300.0,1900.0,2500.0,350.0,0.7,0.4,940.0,36.0,550.0,1104.0,1479.0,375.0,0.0
1.0,2300.0,1900.0,2500.0,350.0,0.7,0.4,1060.0,36.0,550.0,1104.0,2041.0,937.0,0.0
1.0,2300.0,1900.0,2500.0,350.0,0.7,0.4,1200.0,36.0,550.0,1104.0,1770.0,666.0,0.0
1.0,2300.0,1900.0,2500.0,350.0,0.7,0.4,1300.0,36.0,550.0,1104.0,1145.0,41.0,0.0
1.0,2300.0,2000.0,2500.0,470.0,0.7,0.4,640.0,36.0,550.0,229.1,354.1,125.0,0.0
1.0,2300.0,2000.0,2500.0,470.0,0.7,0.4,850.0,36.0,550.0,229.1,270.8,41.7,0.0
